marital,age,sex,race,hompop,happy,health,satjob,fincome
5,22,1,1,3,1,2,1,178712.4649
5,21,1,1,5,1,1,1,178712.4649
1,42,1,3,4,2,2,3,91920
1,49,2,1,3,1,0,0,107240
4,70,2,2,1,1,0,0,42130
2,50,2,1,2,1,4,0,21065
1,35,2,1,4,2,0,1,24895
4,24,2,3,4,2,3,2,4213
1,28,2,2,2,3,3,2,383
5,28,2,1,1,2,2,2,24895
3,55,1,1,2,1,4,0,383
5,36,2,2,5,2,0,2,42130
5,28,2,1,3,3,3,0,6894
3,59,2,2,1,1,2,0,18192.5
5,52,1,3,4,3,0,3,0
5,35,2,2,3,2,2,1,42130
1,36,1,1,4,2,0,2,42130
3,47,2,2,4,2,0,1,34470
1,55,1,3,6,2,3,2,51705
5,18,2,3,6,2,1,0,18192.5
4,76,2,3,5,3,4,2,0
5,39,1,3,3,2,1,2,34470
1,54,1,1,3,2,0,3,76600
1,45,2,3,4,1,0,2,107240
1,71,1,1,2,1,0,0,91920
1,42,2,1,2,2,2,2,0
5,22,1,1,5,2,1,1,178712.4649
1,50,1,1,3,1,1,1,0
2,81,2,2,1,3,0,0,34470
4,44,2,1,2,2,2,1,6894
5,78,1,1,1,2,2,0,63195
3,63,2,1,1,1,0,1,42130
1,73,1,1,2,1,0,0,178712.4649
1,40,1,3,3,2,3,2,51705
1,42,2,1,1,2,0,2,51705
3,62,1,1,1,2,2,1,51705
3,52,1,1,2,2,3,1,76600
5,49,2,2,2,1,0,1,34470
5,27,2,3,1,2,2,2,24895
5,30,2,2,3,2,0,1,34470
1,29,2,3,2,1,1,1,76600
3,69,2,1,2,3,0,0,91920
3,51,2,1,2,2,0,2,178712.4649
3,57,2,1,1,1,1,1,178712.4649
1,44,1,1,2,1,2,1,178712.4649
1,73,2,1,2,1,0,1,178712.4649
1,73,2,1,2,2,2,1,178712.4649
1,68,1,1,2,1,0,1,178712.4649
3,84,2,1,2,2,0,0,51705
3,63,1,1,1,1,2,0,178712.4649
3,57,1,1,1,2,1,2,51705
1,42,2,3,3,2,0,2,178712.4649
1,45,2,1,4,1,1,2,178712.4649
5,38,1,3,3,1,0,3,107240
1,46,1,1,4,1,2,1,178712.4649
1,51,2,3,3,2,1,0,76600
1,41,2,2,4,2,2,1,28725
